N	Seq1	Seq2	Seq3	Seq4
1319	1148 | SA150_1148 | . | Glutamine synthetase type I (EC 6.3.1.2) | dir | [1250894..1252234]	1156 | SA597_1156 | . | Glutamine synthetase type I (EC 6.3.1.2) | dir | [1256628..1257968]	1203 | K8B78_06150 | glnA | type I glutamate--ammonia ligase | dir | [1300450..1301790]	1149 | HMPRNC0000_1379 | glnA | Glutamine synthetase type I | dir | [1310099..1311439]
1343	1166 | SA150_1166 | . | Low-specificity L-threonine aldolase (EC 4.1.2.48) | rev | [1261692..1262717]	1188 | SA597_1188 | . | Low-specificity L-threonine aldolase (EC 4.1.2.48) | rev | [1275039..1276064]	1241 | K8B78_06340 | . | low specificity L-threonine aldolase | rev | [1328170..1329195]	1178 | HMPRNC0000_1410 | ltaE | Low-specificity L-threonine aldolase | rev | [1330289..1331314]
1346	1167 | SA150_1167 | . | hypothetical protein | dir | [1262987..1263184]	1189 | SA597_1189 | . | hypothetical protein | dir | [1276334..1276531]	1242 | K8B78_06345 | . | hypothetical protein | dir | [1329465..1329662]	1179 | HMPRNC0000_1411 | . | hypothetical protein | dir | [1331584..1331781]
1347	1168 | SA150_1168 | . | Cardiolipin synthase, bacterial type ClsA | dir | [1263205..1264722]	1190 | SA597_1190 | . | Cardiolipin synthase, bacterial type ClsA | dir | [1276588..1278069]	1243 | K8B78_06350 | cls | cardiolipin synthase | dir | [1329719..1331200]	1180 | HMPRNC0000_1412 | cls2 | Cardiolipin synthase, ClsA | dir | [1331802..1333319]
1349	1169 | SA150_1169 | . | ABC transporter, ATP-binding protein | dir | [1264906..1265805]	1191 | SA597_1191 | . | ABC transporter, ATP-binding protein | dir | [1278250..1279143]	1244 | K8B78_06355 | . | ABC transporter ATP-binding protein | dir | [1331374..1332282]	1181 | HMPRNC0000_1413 | . | ABC transporter, ATP-binding protein | dir | [1333503..1334402]
1354	1170 | SA150_1170 | . | Efflux ABC transporter, permease protein | dir | [1265774..1266505]	1192 | SA597_1192 | . | Efflux ABC transporter, permease protein | dir | [1279118..1279849]	1245 | K8B78_06360 | . | ABC transporter permease | dir | [1332251..1332982]	1182 | HMPRNC0000_1414 | . | Efflux ABC transporter, permease protein | dir | [1334371..1335102]
1356	1171 | SA150_1171 | . | Two-component system sensor histidine kinase | dir | [1266509..1267600]	1193 | SA597_1193 | . | Two-component system sensor histidine kinase | dir | [1279853..1280944]	1246 | K8B78_06365 | . | sensor histidine kinase | dir | [1332986..1334077]	1183 | HMPRNC0000_1415 | . | Two-component system sensor histidine kinase | dir | [1335106..1336197]
1359	1172 | SA150_1172 | . | Two-component transcriptional response regulator, LuxR family | dir | [1267597..1268199]	1194 | SA597_1194 | . | Two-component transcriptional response regulator, LuxR family | dir | [1280941..1281543]	1247 | K8B78_06370 | . | response regulator transcription factor | dir | [1334074..1334676]	1184 | HMPRNC0000_1416 | . | Two-component transcriptional response regulator, LuxR family | dir | [1336194..1336796]
1362	1173 | SA150_1173 | . | hypothetical protein | rev | [1268312..1268500]	1195 | SA597_1195 | . | hypothetical protein | rev | [1281656..1281844]	1248 | K8B78_06375 | . | LapA family protein | rev | [1334789..1334977]	1185 | HMPRNC0000_1417 | . | hypothetical protein | rev | [1336909..1337097]
1363	1174 | SA150_1174 | . | Staphylococcus nuclease (SNase) domain | dir | [1268639..1269172]	1196 | SA597_1196 | . | Staphylococcus nuclease (SNase) domain | dir | [1281983..1282516]	1249 | K8B78_06380 | . | thermonuclease family protein | dir | [1335116..1335649]	1186 | HMPRNC0000_1419 | . | nuclease with SNase domain | dir | [1337236..1337769]
1364	1175 | SA150_1175 | . | hypothetical protein | rev | [1269317..1270171]	1197 | SA597_1197 | . | hypothetical protein | rev | [1282659..1283513]	1250 | K8B78_06385 | . | hypothetical protein | rev | [1335792..1336646]	1187 | HMPRNC0000_1420 | . | hypothetical protein | rev | [1337912..1338766]
1366	1176 | SA150_1176 | . | hypothetical protein | dir | [1270493..1271077]	1198 | SA597_1198 | . | hypothetical protein | dir | [1283829..1284419]	1251 | K8B78_06390 | . | hypothetical protein | dir | [1336977..1337552]	1188 | HMPRNC0000_1421 | . | hypothetical protein | dir | [1339088..1339672]
1367	1177 | SA150_1177 | . | Aspartokinase (EC 2.7.2.4) | rev | [1271131..1272513]	1199 | SA597_1199 | . | Aspartokinase (EC 2.7.2.4) | rev | [1284473..1285855]	1252 | K8B78_06395 | . | aspartate kinase | rev | [1337606..1338988]	1189 | HMPRNC0000_1422 | lysC2 | Aspartokinase | rev | [1339726..1340856]
1369	1178 | SA150_1178 | . | Homoserine dehydrogenase (EC 1.1.1.3) | dir | [1272704..1273984]	1200 | SA597_1200 | . | Homoserine dehydrogenase (EC 1.1.1.3) | dir | [1286046..1287326]	1253 | K8B78_06400 | . | homoserine dehydrogenase | dir | [1339179..1340459]	1190 | HMPRNC0000_1423 | thrA | Homoserine dehydrogenase | dir | [1341296..1342576]
1371	1179 | SA150_1179 | . | Threonine synthase (EC 4.2.3.1) | dir | [1273990..1275051]	1201 | SA597_1201 | . | Threonine synthase (EC 4.2.3.1) | dir | [1287332..1288393]	1254 | K8B78_06405 | thrC | threonine synthase | dir | [1340465..1341526]	1191 | HMPRNC0000_1424 | thrC | Threonine synthase | dir | [1342582..1343643]
1373	1180 | SA150_1180 | . | Homoserine kinase (EC 2.7.1.39) | dir | [1275053..1275967]	1202 | SA597_1202 | . | Homoserine kinase (EC 2.7.1.39) | dir | [1288395..1289309]	1255 | K8B78_06410 | thrB | homoserine kinase | dir | [1341528..1342442]	1192 | HMPRNC0000_1425 | thrB | Homoserine kinase | dir | [1343645..1344559]
1374	1181 | SA150_1181 | . | Hydrolase, HAD superfamily | dir | [1276025..1276828]	1203 | SA597_1203 | . | Hydrolase, HAD superfamily | dir | [1289367..1290170]	1256 | K8B78_06415 | . | Cof-type HAD-IIB family hydrolase | dir | [1342500..1343303]	1193 | HMPRNC0000_1426 | . | Hydrolase, HAD superfamily | dir | [1344617..1345432]
1375	1182 | SA150_1182 | . | hypothetical protein | rev | [1277121..1277435]	1204 | SA597_1204 | . | hypothetical protein | rev | [1290462..1290776]	1258 | K8B78_06425 | . | hypothetical protein | rev | [1345258..1345572]	1194 | HMPRNC0000_1427 | . | hypothetical protein | rev | [1345699..1346013]
1376	1183 | SA150_1183 | . | Uncharacterized GabP-family amino acid permease SAV1333 | rev | [1277653..1279107]	1205 | SA597_1205 | . | Uncharacterized GabP-family amino acid permease SAV1333 | rev | [1290995..1292449]	1260 | K8B78_06435 | . | amino acid permease | rev | [1345791..1347245]	1195 | HMPRNC0000_1428 | lysP2 | GabP-family amino acid permease | rev | [1346231..1347685]
1377	1184 | SA150_1184 | . | Catalase KatE (EC 1.11.1.6) | dir | [1279311..1280828]	1206 | SA597_1206 | . | Catalase KatE (EC 1.11.1.6) | dir | [1292653..1294170]	1261 | K8B78_06440 | . | catalase | dir | [1347449..1348966]	1196 | HMPRNC0000_1430 | kataA | Catalase KatE | dir | [1347889..1349406]
1378	1185 | SA150_1185 | . | LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent | dir | [1280919..1281068]	1207 | SA597_1207 | . | LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent | dir | [1294261..1294410]	1262 | K8B78_06445 | rpmG | 50S ribosomal protein L33 | dir | [1349057..1349206]	1197 | HMPRNC0000_1431 | rpmG | LSU ribosomal protein L33p and LSU ribosomal protein L33p, zinc-dependent | dir | [1349497..1349646]
1379	1186 | SA150_1186 | . | SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent | dir | [1281522..1281791]	1208 | SA597_1208 | . | SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent | dir | [1294863..1295132]	1263 | K8B78_06450 | rpsN | 30S ribosomal protein S14 | dir | [1349660..1349929]	1198 | HMPRNC0000_1432 | rpsN | SSU ribosomal protein S14p (S29e) and SSU ribosomal protein S14p (S29e), zinc-independent | dir | [1350100..1350369]
1380	1187 | SA150_1187 | . | GMP reductase (EC 1.7.1.7) | dir | [1281948..1282925]	1209 | SA597_1209 | . | GMP reductase (EC 1.7.1.7) | dir | [1295289..1296266]	1264 | K8B78_06455 | guaC | GMP reductase | dir | [1350086..1351063]	1199 | HMPRNC0000_1433 | guaC | GMP reductase | dir | [1350526..1351503]
1381	1188 | SA150_1188 | . | hypothetical protein | dir | [1283100..1283963]	1210 | SA597_1210 | . | hypothetical protein | dir | [1296441..1297304]	1265 | K8B78_06460 | . | CAP domain-containing protein | dir | [1351085..1352101]	1200 | HMPRNC0000_1434 | . | hypothetical protein | dir | [1351678..1352541]
1382	1189 | SA150_1189 | . | SOS-response repressor and protease LexA (EC 3.4.21.88) | rev | [1284343..1284966]	1211 | SA597_1211 | . | SOS-response repressor and protease LexA (EC 3.4.21.88) | rev | [1297684..1298307]	1266 | K8B78_06465 | lexA | transcriptional repressor LexA | rev | [1352481..1353104]	1201 | HMPRNC0000_1436 | lexA | SOS-response repressor and protease LexA | rev | [1352921..1353544]
1383	1190 | SA150_1190 | . | hypothetical protein | dir | [1285106..1285342]	1212 | SA597_1212 | . | hypothetical protein | dir | [1298447..1298683]	1267 | K8B78_06470 | . | hypothetical protein | dir | [1353247..1353480]	1202 | HMPRNC0000_1437 | . | hypothetical protein | dir | [1353684..1353920]
1384	1191 | SA150_1191 | . | hypothetical protein | dir | [1285479..1285718]	1213 | SA597_1213 | . | hypothetical protein | dir | [1298819..1299058]	1268 | K8B78_06475 | . | DUF896 domain-containing protein | dir | [1353616..1353855]	1203 | HMPRNC0000_1438 | . | hypothetical protein | dir | [1354056..1354295]
1386	1193 | SA150_1193 | . | UPF0154 protein YneF | dir | [1288105..1288347]	1215 | SA597_1215 | . | UPF0154 protein YneF | dir | [1301445..1301687]	1270 | K8B78_06485 | . | YneF family protein | dir | [1356242..1356484]	1205 | HMPRNC0000_1440 | . | UPF0154 protein YneF | dir | [1356682..1356924]
1387	1194 | SA150_1194 | . | CcdC protein | dir | [1288526..1288993]	1216 | SA597_1216 | . | CcdC protein | dir | [1301866..1302333]	1272 | K8B78_06495 | . | CcdC family protein | dir | [1356663..1357130]	1206 | HMPRNC0000_1442 | . | CcdC protein | dir | [1357103..1357570]
1388	1195 | SA150_1195 | . | Exonuclease SbcD | dir | [1289117..1290238]	1217 | SA597_1217 | . | Exonuclease SbcD | dir | [1302457..1303578]	1273 | K8B78_06500 | . | exonuclease SbcCD subunit D | dir | [1357254..1358375]	1207 | HMPRNC0000_1443 | sbcD | Exonuclease SbcD | dir | [1357694..1358815]
1390	1197 | SA150_1197 | . | Large-conductance mechanosensitive channel | rev | [1293342..1293704]	1219 | SA597_1219 | . | Large-conductance mechanosensitive channel | rev | [1306682..1307044]	1275 | K8B78_06510 | mscL | large conductance mechanosensitive channel protein MscL | rev | [1361479..1361841]	1210 | HMPRNC0000_1447 | mscL | Large-conductance mechanosensitive channel | rev | [1361918..1362280]
1391	1198 | SA150_1198 | . | Glycine betaine transporter OpuD | dir | [1293908..1295554]	1220 | SA597_1220 | . | Glycine betaine transporter OpuD | dir | [1307248..1308894]	1276 | K8B78_06515 | . | BCCT family transporter | dir | [1362045..1363691]	1211 | HMPRNC0000_1448 | opuD2 | Glycine betaine transporter OpuD | dir | [1362482..1364128]
1392	1199 | SA150_1199 | . | Aconitate hydratase (EC 4.2.1.3) | dir | [1296447..1299152]	1221 | SA597_1221 | . | Aconitate hydratase (EC 4.2.1.3) | dir | [1309473..1312178]	1277 | K8B78_06520 | acnA | aconitate hydratase AcnA | dir | [1364259..1366964]	1212 | HMPRNC0000_1449 | acnA | Aconitate hydratase | dir | [1364902..1367607]
1393	1200 | SA150_1200 | . | 4-hydroxybenzoyl-CoA thioesterase family active site | dir | [1299332..1299799]	1222 | SA597_1222 | . | 4-hydroxybenzoyl-CoA thioesterase family active site | dir | [1312357..1312824]	1278 | K8B78_06525 | . | acyl-CoA thioesterase | dir | [1367145..1367612]	1213 | HMPRNC0000_1450 | . | 4-hydroxybenzoyl-CoA thioesterase family active site | dir | [1367787..1368254]
1394	1201 | SA150_1201 | . | hypothetical protein | rev | [1300006..1300302]	1223 | SA597_1223 | . | hypothetical protein | rev | [1313031..1313327]	1279 | K8B78_06530 | . | HesB/YadR/YfhF family protein | rev | [1367821..1368117]	1214 | HMPRNC0000_1451 | . | hypothetical protein | rev | [1368461..1368757]
1395	1202 | SA150_1202 | . | Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3) | rev | [1300678..1301286]	1224 | SA597_1224 | . | Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3) | rev | [1313704..1314312]	1280 | K8B78_06535 | plsY | glycerol-3-phosphate 1-O-acyltransferase PlsY | rev | [1368495..1369103]	1215 | HMPRNC0000_1452 | plsY | Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY | rev | [1369133..1369741]
1396	1203 | SA150_1203 | . | DNA topoisomerase IV subunit B (EC 5.99.1.3) | dir | [1301492..1303483]	1225 | SA597_1225 | . | DNA topoisomerase IV subunit B (EC 5.99.1.3) | dir | [1314518..1316509]	1281 | K8B78_06540 | parE | DNA topoisomerase IV subunit B | dir | [1369309..1371300]	1216 | HMPRNC0000_1454 | parE | Topoisomerase IV subunit B | dir | [1369941..1371938]
1397	1204 | SA150_1204 | . | DNA topoisomerase IV subunit A (EC 5.99.1.3) | dir | [1303483..1305885]	1226 | SA597_1226 | . | DNA topoisomerase IV subunit A (EC 5.99.1.3) | dir | [1316509..1318911]	1282 | K8B78_06545 | parC | DNA topoisomerase IV subunit A | dir | [1371300..1373702]	1217 | HMPRNC0000_1455 | parC | Topoisomerase IV subunit A | dir | [1371938..1374340]
1398	1205 | SA150_1205 | . | Sodium:alanine symporter family protein | dir | [1306135..1307595]	1227 | SA597_1227 | . | Sodium:alanine symporter family protein | dir | [1319161..1320621]	1283 | K8B78_06550 | . | alanine:cation symporter family protein | dir | [1373952..1375412]	1218 | HMPRNC0000_1457 | agcS | Sodium:alanine symporter family protein | dir | [1374590..1376050]
1400	1206 | SA150_1206 | . | Transcription antiterminator | dir | [1308095..1308946]	1228 | SA597_1228 | . | Transcription antiterminator | dir | [1321121..1321972]	1284 | K8B78_06555 | . | transcription antiterminator | dir | [1375912..1376763]	1219 | HMPRNC0000_1458 | glcT | Transcription antiterminator | dir | [1376663..1377400]
1401	1207 | SA150_1207 | . | UPF0118 membrane protein YubA | dir | [1309141..1310289]	1230 | SA597_1230 | . | UPF0118 membrane protein YubA | dir | [1322167..1323315]	1286 | K8B78_06565 | cozEb | cell elongation protein CozEb | dir | [1376898..1378106]	1220 | HMPRNC0000_1459 | . | UPF0118 membrane protein YubA | dir | [1377535..1378743]
1402	1208 | SA150_1208 | . | L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3) | dir | [1310770..1313292]	1231 | SA597_1231 | . | L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3) | dir | [1323795..1326317]	1287 | K8B78_06570 | mprF | bifunctional lysylphosphatidylglycerol flippase/synthetase MprF | dir | [1378587..1381109]	1221 | HMPRNC0000_1460 | . | L-O-lysylphosphatidylglycerol synthase | dir | [1379224..1381746]
1403	1209 | SA150_1209 | . | Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11) | rev | [1313495..1314004]	1232 | SA597_1232 | . | Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11) | rev | [1326520..1327029]	1288 | K8B78_06575 | msrA | peptide-methionine (S)-S-oxide reductase MsrA | rev | [1381312..1381821]	1223 | HMPRNC0000_1462 | msrA | Peptide-methionine (S)-S-oxide reductase MsrA | rev | [1383469..1383978]
1404	1210 | SA150_1210 | . | Peptide methionine sulfoxide reductase regulator MsrR | dir | [1314141..1315124]	1233 | SA597_1233 | . | Peptide methionine sulfoxide reductase regulator MsrR | dir | [1327166..1328149]	1289 | K8B78_06580 | . | LCP family protein | dir | [1381958..1382941]	1224 | HMPRNC0000_1463 | msrR | Peptide methionine sulfoxide reductase regulator MsrR | dir | [1384115..1384888]
1405	1211 | SA150_1211 | . | 2-hydroxymuconate tautomerase-like protein YwhB (Bsu3751) | rev | [1315212..1315400]	1234 | SA597_1234 | . | 2-hydroxymuconate tautomerase-like protein YwhB (Bsu3751) | rev | [1328237..1328425]	1291 | K8B78_06590 | . | 4-oxalocrotonate tautomerase | rev | [1384942..1385127]	1225 | HMPRNC0000_1464 | dmpI | putative diacid tautomerase of unidentified natural substrate YwhB | rev | [1385184..1385372]
1406	1212 | SA150_1212 | . | Putative UV-damage repair protein UvrX | dir | [1315545..1316807]	1235 | SA597_1235 | . | Putative UV-damage repair protein UvrX | dir | [1328570..1329832]	1292 | K8B78_06595 | . | Y-family DNA polymerase | dir | [1385275..1386537]	1226 | HMPRNC0000_1465 | dinB2 | Putative UV-damage repair protein UvrX | dir | [1385669..1386526]
1408	1213 | SA150_1213 | . | Prephenate dehydrogenase (EC 1.3.1.12) | rev | [1316944..1318035]	1236 | SA597_1236 | . | Prephenate dehydrogenase (EC 1.3.1.12) | rev | [1329969..1331060]	1293 | K8B78_06600 | . | prephenate dehydrogenase | rev | [1386673..1387764]	1227 | HMPRNC0000_1466 | tyrA | Prephenate dehydrogenase | rev | [1386663..1387454]
1410	1214 | SA150_1214 | . | Deblocking aminopeptidase (EC 3.4.11.-) | dir | [1318200..1319231]	1237 | SA597_1237 | . | Deblocking aminopeptidase (EC 3.4.11.-) | dir | [1331225..1332256]	1294 | K8B78_06605 | . | M42 family metallopeptidase | dir | [1387929..1388960]	1228 | HMPRNC0000_1467 | . | Deblocking aminopeptidase | dir | [1387971..1389002]
1411	1215 | SA150_1215 | . | Anthranilate synthase, aminase component (EC 4.1.3.27) | dir | [1319723..1321129]	1238 | SA597_1238 | . | Anthranilate synthase, aminase component (EC 4.1.3.27) | dir | [1332826..1334154]	1295 | K8B78_06610 | . | anthranilate synthase component I | dir | [1389453..1390859]	1229 | HMPRNC0000_1468 | trpE | Anthranilate synthase, aminase component | dir | [1389494..1390900]
1412	1216 | SA150_1216 | . | Anthranilate synthase, amidotransferase component (EC 4.1.3.27) | dir | [1321126..1321692]	1239 | SA597_1239 | . | Anthranilate synthase, amidotransferase component (EC 4.1.3.27) | dir | [1334151..1334717]	1296 | K8B78_06615 | . | aminodeoxychorismate/anthranilate synthase component II | dir | [1390856..1391422]	1230 | HMPRNC0000_1469 | trpG | Anthranilate synthase, amidotransferase component | dir | [1390897..1391463]
1416	1218 | SA150_1218 | . | Indole-3-glycerol phosphate synthase (EC 4.1.1.48) | dir | [1322698..1323480]	1242 | SA597_1242 | . | Indole-3-glycerol phosphate synthase (EC 4.1.1.48) | dir | [1335721..1336503]	1298 | K8B78_06625 | trpC | indole-3-glycerol phosphate synthase TrpC | dir | [1392426..1393208]	1232 | HMPRNC0000_1471 | trpC | Indole-3-glycerol phosphate synthase | dir | [1392469..1393251]
1418	1219 | SA150_1219 | . | Phosphoribosylanthranilate isomerase (EC 5.3.1.24) | dir | [1323477..1324112]	1243 | SA597_1243 | . | Phosphoribosylanthranilate isomerase (EC 5.3.1.24) | dir | [1336500..1337135]	1299 | K8B78_06630 | . | phosphoribosylanthranilate isomerase | dir | [1393208..1393840]	1233 | HMPRNC0000_1472 | trpF | Phosphoribosylanthranilate isomerase | dir | [1393248..1393883]
1419	1220 | SA150_1220 | . | Tryptophan synthase beta chain (EC 4.2.1.20) | dir | [1324105..1325319]	1244 | SA597_1244 | . | Tryptophan synthase beta chain (EC 4.2.1.20) | dir | [1337128..1338342]	1300 | K8B78_06635 | trpB | tryptophan synthase subunit beta | dir | [1393833..1395047]	1234 | HMPRNC0000_1473 | trpB | Tryptophan synthase beta chain | dir | [1393876..1395090]
